paperid,institutionid,authorids,year
W3200172196,I172901346,['A5047164899'],2020
W3205370818,I172901346,"['A5062050861' 'A5089562764' 'A5108848595' 'A5113965904' 'A5077322163'
 'A5046488394' 'A5064935489']",2021
W4321649480,I172901346,['A5014802378'],2023
W4401205196,I172901346,['A5014115280'],2024
W4401272985,I172901346,['A5106257309'],2024
W4403619243,I172901346,['A5034361337' 'A5015227367'],2024
W4403684131,I172901346,['A5029508477' 'A5069459955' 'A5112548279' 'A5065421233' 'A5059108986'],2024
W2429076575,I172901346,['A5103887414' 'A5110709641' 'A5079647060'],2016
W2951257916,I172901346,['A5088299882' 'A5005091592'],2019
W4400654549,I172901346,['A5111186741'],2024
W4400660541,I172901346,['A5063598907'],2024
W4400661008,I172901346,['A5108336831' 'A5067195564' 'A5045529642'],2024
W4400725536,I172901346,['A5031903443'],2024
W4400725902,I172901346,['A5015876222' 'A5026488868' 'A5104685261' 'A5092267657' 'A5086471451'],2024
W4401340351,I172901346,['A5106310864' 'A5070236919'],2024
W4245447552,I172901346,['A5047815952'],2018
W4312897927,I172901346,['A5025492414' 'A5054870795' 'A5091087116' 'A5039358835'],2022
W2580432378,I172901346,['A5012330706' 'A5004571178'],2016
W2597178793,I172901346,['A5039725651' 'A5029760527'],2017
W2608423750,I172901346,['A5046383624'],2017
W2768001024,I172901346,"['A5017638281' 'A5079081919' 'A5014086237' 'A5010770592' 'A5112172975'
 'A5086952226']",2017
W2890194982,I172901346,['A5060132739' 'A5040666019' 'A5034578325' 'A5021696330'],2018
W2914524480,I172901346,['A5071948220'],2016
W3036319660,I172901346,['A5045446441'],2020
W3105884824,I172901346,['A5089372593'],2020
W3136621731,I172901346,['A5012227694'],2021
W4282569350,I172901346,['A5087467580'],2022
W4294939452,I172901346,['A5050889083' 'A5100613162' 'A5048664394' 'A5069283769'],2022
W4362469280,I172901346,['A5073030317' 'A5062262247'],2023
W4376462893,I172901346,['A5110349037'],2017
W4381144155,I172901346,['A5092198021'],2022
W3006589863,I172901346,['A5024876859'],2020
W2739475138,I172901346,['A5030895995'],2017
W2300761194,I172901346,['A5091357063' 'A5046248467'],2016
W2626434298,I172901346,['A5045480911'],2016
W2905302248,I172901346,['A5002499751'],2018
W4293217225,I172901346,"['A5063856037' 'A5076569605' 'A5086022271' 'A5041954930' 'A5028393841'
 'A5070606522']",2022
W4402135345,I172901346,['A5029358174'],2024
W4403332903,I172901346,['A5022094529'],2024
W4403333558,I172901346,['A5111220311' 'A5079823339' 'A5037291729' 'A5072689229' 'A5100678925'],2024
W4404793203,I172901346,['A5010145721'],2024
W2562148675,I172901346,['A5060981277'],2016
W2606340556,I172901346,['A5037716535'],2017
W2609995560,I172901346,['A5083398611'],2017
W2770046515,I172901346,['A5067194379'],2017
W2149126520,I172901346,['A5003282950'],2015
W3139384496,I172901346,"['A5064729989' 'A5028396309' 'A5058530409' 'A5074534258' 'A5082269729'
 'A5046519813' 'A5074346123']",2021
W2572158426,I172901346,['A5072059331' 'A5064808812' 'A5041836193'],2016
W4390677948,I172901346,['A5048916281'],2023
W4401613329,I172901346,['A5088074081'],2024
W2895130447,I172901346,['A5013422328' 'A5014017999' 'A5077547595'],2018
W3137914121,I172901346,['A5045172496' 'A5012913220'],2018
W3154155440,I172901346,['A5045172496' 'A5012913220'],2017
W3177887888,I172901346,['A5045172496' 'A5012913220'],2017
W3209743914,I172901346,['A5086591570' 'A5059125183'],2021
W3215012131,I172901346,['A5000909123'],2021
W3001135764,I172901346,['A5014746824' 'A5054362085' 'A5014311987' 'A5065829903'],2018
W3132752631,I172901346,['A5014746824' 'A5054362085' 'A5000058509' 'A5014311987'],2021
W3170149217,I172901346,['A5014746824' 'A5054362085'],2021
W4390923635,I172901346,['A5016106852'],2023
W4391577166,I172901346,['A5033474563'],2024
W4391620158,I172901346,['A5005280192'],2024
W4391654979,I172901346,['A5033611040'],2024
W4391663972,I172901346,['A5046917386' 'A5015570068' 'A5024290284'],2023
W4392719776,I172901346,['A5035331593'],2024
W4394750508,I172901346,['A5072986510'],2023
W4394763882,I172901346,['A5000244867'],2024
W4394788598,I172901346,['A5066915234'],2023
W4394814794,I172901346,"['A5005080511' 'A5007916265' 'A5030734091' 'A5043540621' 'A5071347106'
 'A5076166201' 'A5057634860' 'A5025257840']",2023
W4394814798,I172901346,['A5031282816'],2023
W4377971905,I172901346,['A5021795284' 'A5051935454'],2023
W4379108350,I172901346,['A5114054577'],2023
W4382042858,I172901346,['A5076400830'],2023
W3197978749,I172901346,['A5008898584' 'A5036398389'],2021
W3198261666,I172901346,['A5007208305'],2021
W3199984868,I172901346,['A5063907155' 'A5000901496' 'A5061861129'],2021
W3200441597,I172901346,['A5112634050' 'A5012913220'],2018
W3201061002,I172901346,['A5002492418' 'A5074841946'],2021
W4399667674,I172901346,['A5063025848'],2024
W4399956966,I172901346,['A5059776048' 'A5073340003' 'A5031735125' 'A5066028438' 'A5046917386'],2024
W4400014355,I172901346,['A5086709883' 'A5085227127'],2024
W4400885475,I172901346,['A5001395897'],2024
W4401579734,I172901346,['A5033482000'],2024
W4402270614,I172901346,['A5020727581'],2024
W4402507484,I172901346,['A5001395897'],2024
W4402848249,I172901346,"['A5018016556' 'A5015277012' 'A5107495874' 'A5088840371' 'A5012584130'
 'A5037338542' 'A5033533538']",2024
W2579914537,I172901346,['A5083175703'],2015
W1588383087,I172901346,['A5108365497' 'A5083136298'],2015
W4385410934,I172901346,['A5066313335'],2023
W4385806808,I172901346,['A5004553633'],2023
W4386116925,I172901346,['A5022465758'],2023
W2185600177,I172901346,['A5017900020' 'A5054362085' 'A5075583507'],2015
W3165474122,I172901346,['A5052546470'],2021
W3185146645,I172901346,['A5002019529' 'A5042515502'],2020
W3122264203,I172901346,['A5063285541'],2020
W2004240843,I172901346,['A5039224536' 'A5030916028' 'A5073353012'],2015
W2519094012,I172901346,"['A5064926503' 'A5079564395' 'A5047386261' 'A5013441451' 'A5047879621'
 'A5086252269' 'A5053610109']",2016
W4210395212,I172901346,['A5042724417'],2022
W4318477774,I172901346,['A5032548201' 'A5034625687' 'A5022014527'],2023
W2943468458,I172901346,['A5114375175'],2019
W3029944491,I172901346,['A5005683089'],2020
W3035176076,I172901346,['A5070495985'],2020
W3037586448,I172901346,['A5109485609'],2020
W3039694111,I172901346,['A5074534258'],2020
W3045314851,I172901346,['A5081686475'],2020
W3046505812,I172901346,['A5001315014' 'A5044955638'],2020
W3081942845,I172901346,['A5045131182' 'A5032981894'],2020
W3096452931,I172901346,['A5013441451'],2020
W3103102491,I172901346,['A5038721720' 'A5046080051'],2020
W4387268256,I172901346,['A5067362124'],2023
W2324050632,I172901346,['A5024415542'],2015
W2733915217,I172901346,['A5080499944' 'A5089436983' 'A5073981545'],2017
W2802531279,I172901346,['A5067420397' 'A5048029916' 'A5067362124' 'A5066905545' 'A5090448794'],2018
W2951570680,I172901346,['A5010950174'],2019
W2730941574,I172901346,['A5057076088' 'A5053021737'],2017
W3106586323,I172901346,['A5074026129'],2020
W2912690945,I172901346,"['A5015876222' 'A5024963964' 'A5009643537' 'A5085306120' 'A5087047255'
 'A5005373429' 'A5058392037']",2019
W2913695494,I172901346,['A5068346610' 'A5089913993'],2019
W2926058445,I172901346,['A5074738902'],2019
W2927388720,I172901346,['A5074738902'],2019
W2928636953,I172901346,['A5062216253'],2019
W2946742771,I172901346,['A5062718515'],2018
W2953526352,I172901346,['A5066547478'],2019
W2955382335,I172901346,['A5057569178' 'A5054744381'],2019
W2976111356,I172901346,['A5022794116' 'A5090261862' 'A5054248936'],2019
W2998629278,I172901346,['A5025735540'],2017
W3001628431,I172901346,['A5063455994'],2019
W3004982088,I172901346,['A5058544811' 'A5112887533'],2019
W4221009379,I172901346,['A5087842724'],2022
W4248287232,I172901346,['A5038850621'],2015
W4252994250,I172901346,['A5022692272'],2021
W4285271622,I172901346,['A5070325553'],2022
W3206302747,I172901346,['A5005647628'],2021
W2336664516,I172901346,['A5068463522' 'A5086293461' 'A5025565201' 'A5019336215'],2015
W2802937741,I172901346,['A5048451393' 'A5066515109'],2018
W2884347890,I172901346,['A5011127779'],2018
W2937972468,I172901346,['A5001245571' 'A5087004438' 'A5015800562'],2019
