id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2051733123,Oleg I. Drivotin|Dmitri Ovsyannikov,https://openalex.org/A5087085551|https://openalex.org/A5067728539,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,11,https://openalex.org/I172901346,SELF-CONSISTENT DISTRIBUTIONS FOR CHARGED PARTICLE BEAM IN MAGNETIC FIELD,https://doi.org/10.1142/s0217751x09044322,0.8496,False,en,False,closed,International Journal of Modern Physics A,https://openalex.org/S68175919,0217-751X,journal,Particle accelerators and beam dynamics,2009-02-20,2009,article
https://openalex.org/W1973892503,Oleg I. Drivotin|Dmitri Ovsyannikov,https://openalex.org/A5087085551|https://openalex.org/A5067728539,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,8,https://openalex.org/I172901346,Modeling of self-consistent distributions for longitudinally non-uniform beams,https://doi.org/10.1016/j.nima.2005.11.082,0.0,False,en,False,closed,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,https://openalex.org/S145630073,0168-9002,journal,Particle accelerators and beam dynamics,2005-12-02,2005,article
https://openalex.org/W2112735301,Oleg I. Drivotin|Dmitri Ovsyannikov,https://openalex.org/A5087085551|https://openalex.org/A5067728539,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,3,https://openalex.org/I172901346,Particle distributions for beam in electric field,https://doi.org/10.1109/pac.1999.794283,0.6218,False,en,False,closed,Proceedings of the 1999 Particle Accelerator Conference (Cat. No.99CH36366),https://openalex.org/S4306523573,,conference,Particle accelerators and beam dynamics,2003-01-20,2003,article
https://openalex.org/W2145014255,Oleg I. Drivotin|Dmitri Ovsyannikov,https://openalex.org/A5087085551|https://openalex.org/A5067728539,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,4,https://openalex.org/I172901346,New classes of uniform distributions for charged particles in longitudinal magnetic field,https://doi.org/10.1109/pac.1997.751069,1.5986,False,en,False,closed,Proceedings of the 1997 Particle Accelerator Conference (Cat. No.97CH36167),https://openalex.org/S4306523570,,conference,Fluid Dynamics and Turbulent Flows,2002-11-23,2002,article
https://openalex.org/W2516495160,Oleg I. Drivotin|Dmitri Ovsyannikov,https://openalex.org/A5087085551|https://openalex.org/A5067728539,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,4,https://openalex.org/I172901346,Stationary self-consistent distributions for a charged particle beam in the longitudinal magnetic field,https://doi.org/10.1134/s1063779616050038,1.5262,False,en,False,closed,Physics of Particles and Nuclei,https://openalex.org/S134651815,1063-7796,journal,Particle accelerators and beam dynamics,2016-09-01,2016,article
https://openalex.org/W2047873519,Oleg I. Drivotin|Ksenia Vlasova,https://openalex.org/A5087085551|https://openalex.org/A5021823498,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,2,https://openalex.org/I172901346,Numerical optimization of RFQ channel,https://doi.org/10.1109/bdo.2014.6890012,0.0,False,en,False,closed,,,,,Particle accelerators and beam dynamics,2014-06-01,2014,article
https://openalex.org/W2573358811,Oleg I. Drivotin,https://openalex.org/A5087085551,https://orcid.org/0000-0002-3016-7667,RU,St Petersburg University,https://openalex.org/I172901346,True,,2,https://openalex.org/I172901346,Covariant description of phase space distributions,https://doi.org/10.21638/11701/spbu10.2016.304,0.5285,False,en,True,diamond,Vestnik of Saint Petersburg University Applied Mathematics Computer Science Control Processes,https://openalex.org/S4210190943,1811-9905,journal,Laser-Plasma Interactions and Diagnostics,2016-01-01,2016,article
https://openalex.org/W2183125880,Oleg I. Drivotin|N. E. Ovsyannikov,https://openalex.org/A5087085551|https://openalex.org/A5070560268,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,0,https://openalex.org/I172901346,Self-consistent distributions simulation for a charged particle beam,https://doi.org/10.1109/scp.2015.7342106,0.0,False,en,False,closed,,,,,Particle accelerators and beam dynamics,2015-10-01,2015,article
https://openalex.org/W2624997736,Oleg I. Drivotin|D. A. Starikov,https://openalex.org/A5087085551|https://openalex.org/A5029029613,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,cc-by,0,https://openalex.org/I172901346,Investigation of a Second Order Method of RFQ Channel Optimization,https://doi.org/10.18429/jacow-rupac2016-tupsa013,0.0,False,en,True,green,JACOW,https://openalex.org/S7407050898,,journal,Advancements in PLL and VCO Technologies,2017-01-01,2017,article
https://openalex.org/W2625755569,Oleg I. Drivotin|Ilshat Dulatov,https://openalex.org/A5087085551|https://openalex.org/A5046155675,https://orcid.org/0000-0002-3016-7667|,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,cc-by,0,https://openalex.org/I172901346,A Simple Model for Electromagnetic Field in RFQ Channel,https://doi.org/10.18429/jacow-rupac2016-tupsa014,0.0,False,en,True,green,JACOW,https://openalex.org/S7407050898,,journal,Radio Frequency Integrated Circuit Design,2017-01-01,2017,article
