id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4311781895,Mikhail A. Grekov|Aleksandra B. Vakaeva|Wolfgang H. Müller,https://openalex.org/A5000811161|https://openalex.org/A5012330698|https://openalex.org/A5101826468,https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0003-0880-0726,RU|RU|DE,St Petersburg University|St Petersburg University|Technische Universität Berlin,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I4577782,True|False|False,,8,https://openalex.org/I172901346,Stress field around cylindrical nanopore by various models of surface elasticity,https://doi.org/10.1007/s00161-022-01168-7,Deutscher Akademischer Austauschdienst|Saint Petersburg State University|Russian Science Foundation,0.9172,False,en,False,closed,Continuum Mechanics and Thermodynamics,https://openalex.org/S60797522,0935-1175,journal,Numerical methods in engineering,2022-12-15,2022,article
https://openalex.org/W2772677499,Mikhail A. Grekov|Sergey A. Kostyrko|Aleksandra B. Vakaeva,https://openalex.org/A5000811161|https://openalex.org/A5063936523|https://openalex.org/A5012330698,https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0002-0925-1143,RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False,,14,https://openalex.org/I172901346,The model of surface nanorelief within continuum mechanics,https://doi.org/10.1063/1.5013743,Russian Foundation for Basic Research,1.8302,False,en,False,closed,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,journal,Composite Material Mechanics,2017-01-01,2017,article
https://openalex.org/W2128959535,E. A. Bashkankova|Aleksandra B. Vakaeva|Mikhail A. Grekov,https://openalex.org/A5083533646|https://openalex.org/A5012330698|https://openalex.org/A5000811161,|https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0003-4379-4456,RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False,,15,https://openalex.org/I172901346,Perturbation method in the problem on a nearly circular hole in an elastic plane,https://doi.org/10.3103/s0025654415020090,Russian Foundation for Basic Research,2.4319,False,en,False,closed,Mechanics of Solids,https://openalex.org/S101923274,0025-6544,journal,Numerical methods in engineering,2015-03-01,2015,article
https://openalex.org/W2601164531,Mikhail A. Grekov|Aleksandra B. Vakaeva,https://openalex.org/A5000811161|https://openalex.org/A5012330698,https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0002-0925-1143,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,11,https://openalex.org/I172901346,EFFECT OF NANOSIZED ASPERITIES AT THE SURFACE OF A NANOHOLE,https://doi.org/10.7712/100016.2382.7929,Russian Foundation for Basic Research,1.108,False,en,True,gold,,,,,Carbon Nanotubes in Composites,2016-01-01,2016,article
https://openalex.org/W2927348167,Aleksandra B. Vakaeva|S.A. Krasnitckii|A. M. Smirnov|Mikhail A. Grekov|M. Yu. Gutkin,https://openalex.org/A5012330698|https://openalex.org/A5062726864|https://openalex.org/A5069531694|https://openalex.org/A5000811161|https://openalex.org/A5073710486,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0003-4363-8242|https://orcid.org/0000-0002-7962-6481|https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0003-0727-6352,RU|RU|RU|RU|RU,St Petersburg University|ITMO University|Institute of Problems of Mechanical Engineering|ITMO University|St Petersburg University|ITMO University|Institute of Problems of Mechanical Engineering|Peter the Great St. Petersburg Polytechnic University,https://openalex.org/I172901346|https://openalex.org/I173089394|https://openalex.org/I4210142628|https://openalex.org/I173089394|https://openalex.org/I172901346|https://openalex.org/I173089394|https://openalex.org/I4210142628|https://openalex.org/I212220629,False|False|False|False|True,cc-by-nc-nd,9,https://openalex.org/I173089394|https://openalex.org/I212220629|https://openalex.org/I4210142628,Stress Concentration and Distribution at Triple Junction Pores of Three-Fold Symmetry in Ceramics,https://doi.org/10.1515/rams-2018-0048,Russian Foundation for Basic Research|Russian Science Foundation,0.786,False,en,True,hybrid,REVIEWS ON ADVANCED MATERIALS SCIENCE,https://openalex.org/S65777331,1605-8127,journal,Numerical methods in engineering,2018-06-01,2018,article
https://openalex.org/W2188025244,Aleksandra B. Vakaeva|Mikhail A. Grekov,https://openalex.org/A5012330698|https://openalex.org/A5000811161,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0003-4379-4456,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,7,https://openalex.org/I172901346,Effect of surface stresses in an elastic body with a curvilinear nanohole,https://doi.org/10.1109/scp.2015.7342166,Russian Foundation for Basic Research,2.0845,False,en,False,closed,,,,,Composite Material Mechanics,2015-10-01,2015,article
https://openalex.org/W2801229330,Aleksandra B. Vakaeva|Mikhail A. Grekov,https://openalex.org/A5012330698|https://openalex.org/A5000811161,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0003-4379-4456,RU|RU,St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346,True|False,,8,https://openalex.org/I172901346,Effect of interfacial stresses in an elastic body with a nanoinclusion,https://doi.org/10.1063/1.5034711,Russian Foundation for Basic Research,0.9713,False,en,False,closed,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,journal,Composite Material Mechanics,2018-01-01,2018,article
https://openalex.org/W3023468408,Aleksandra B. Vakaeva|S.A. Krasnitckii|Mikhail A. Grekov|M. Yu. Gutkin,https://openalex.org/A5012330698|https://openalex.org/A5062726864|https://openalex.org/A5000811161|https://openalex.org/A5073710486,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0003-4363-8242|https://orcid.org/0000-0003-4379-4456|https://orcid.org/0000-0003-0727-6352,RU|RU|RU|RU,St Petersburg University|Peter the Great St. Petersburg Polytechnic University|Institute of Problems of Mechanical Engineering|ITMO University|St Petersburg University|Peter the Great St. Petersburg Polytechnic University|Institute of Problems of Mechanical Engineering|ITMO University,https://openalex.org/I172901346|https://openalex.org/I212220629|https://openalex.org/I4210142628|https://openalex.org/I173089394|https://openalex.org/I172901346|https://openalex.org/I212220629|https://openalex.org/I4210142628|https://openalex.org/I173089394,True|False|False|False,,5,https://openalex.org/I172901346,Stress field in ceramic material containing threefold symmetry inhomogeneity,https://doi.org/10.1007/s10853-020-04675-7,Russian Foundation for Basic Research|Russian Science Foundation,0.6036,False,en,False,closed,Journal of Materials Science,https://openalex.org/S26125866,0022-2461,journal,Composite Material Mechanics,2020-05-07,2020,article
https://openalex.org/W3081363421,Gleb M. Shuvalov|Aleksandra B. Vakaeva|Denis A. Shamsutdinov|Sergey A. Kostyrko,https://openalex.org/A5053417351|https://openalex.org/A5012330698|https://openalex.org/A5029203435|https://openalex.org/A5063936523,https://orcid.org/0000-0002-9039-4888|https://orcid.org/0000-0002-0925-1143||https://orcid.org/0000-0003-3074-0969,RU|RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False|False,,5,https://openalex.org/I172901346,The effect of nonlinear terms in boundary perturbation method on stress concentration near the nanopatterned bimaterial interface,https://doi.org/10.21638/11701/spbu10.2020.208,Russian Science Foundation,0.599,False,en,True,diamond,Vestnik of Saint Petersburg University Applied Mathematics Computer Science Control Processes,https://openalex.org/S4210190943,1811-9905,journal,Composite Material Mechanics,2020-01-01,2020,article
https://openalex.org/W2963919324,Aleksandra B. Vakaeva|Gleb M. Shuvalov|Sergey A. Kostyrko|Mikhail A. Grekov,https://openalex.org/A5012330698|https://openalex.org/A5053417351|https://openalex.org/A5063936523|https://openalex.org/A5000811161,https://orcid.org/0000-0002-0925-1143|https://orcid.org/0000-0002-9039-4888|https://orcid.org/0000-0003-3074-0969|https://orcid.org/0000-0003-4379-4456,RU|RU|RU|RU,St Petersburg University|St Petersburg University|St Petersburg University|St Petersburg University,https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346|https://openalex.org/I172901346,True|False|False|False,,2,https://openalex.org/I172901346,The finite element modeling of an elastic body with a nanometer surface relief,https://doi.org/10.1063/1.5114300,Russian Science Foundation,0.3612,False,en,False,closed,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,journal,Composite Material Mechanics,2019-01-01,2019,article
